ID,Year of Birth,Age,Gender,Employment Duration,Industry,Occupation,Size of Employer Company,Size of Household,Residency Area,Time Spent Working Remotely Last Quarter of Last Year,Preferred Time Spent Working Remotely Last Quarter of Last Year,Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in Future,Employer's Policy change on Remote Work,1 day Hybrid last 6 months,Duration of Hybrid,Preferences towards Hybrid,Employer's Policy on Hybrid,Employer's Time Preference on Onsite,Attitude on Employer's Preferences,Liberty to make the Choice on Decision,Liberty to make the Choice on Days,Direct Manager's role,Attitude on Employer's Decision on Remote Work,Attitude on Employer's Encouragement,Attitude on Employer's Preparedness,Attitude of Other Employees ,Ease to get Permission on Remote Work,Ease to Collaborate with Colleagues,Effect of Promotion,Attitude on Taking Breaks,Impact on Employer,Most Supportive Person(s) on Remote Work,Expected Employer's Encouragement Post Covid,Expected Employer's Support Post Covid,Attitude on Choice on Remote Post Covid,Intended Time to Commute Onsite,Intended Time for Work Onsite,Intended Time for Chores Onsite,Intended Time for Personal Life Onsite,Intended Time for Sleep Onsite,Intended Time to Commute Remote,Intended Time for Work Remote,Intended Time for Chores Remote,Intended Time for Personal Life Remote,Intended Time for Sleep Remote,Attitude on pay cut,Agreed percentage on Pay cut,Barrier of Caring Responsibilities,Barrier of Connectivity,Barrier from Organizations Software System,Barrier on Collaboration,Barrier of poor management,Barrier of IT Equipment,Barrier of Feeling Isolated,Barrier of Extra Cost,Barrier of Cyber Security,Barrier of task cannot be done remotely,Barrier about working Space,Barrier on Motivation,Barrier on Management encouragement on Remote,Barrier of my living situation,Barrier of Remote Working Skills,Barrier of Health and Safety,Positivity on Remote Work,Activeness on Remote Work,Attitute towards Team Members,Management role of Participant,Remote Employees under Manager ,Manager's discretion towards Remote ,Opinion on Remote Employee Retention,Opinion on Remote Employee Recruitment,Opinion on Remote Team Work,Opinion on monitoring Remote Team,Opinion on Remote Poor Performers,Opinion on Preparation for Remote Employee Management,Opinion on Preparation for Focus on Work,Opinion on Finding Employees,Manager's Productivity on Remote,Employee's Productivity on Remote
4,1962,59,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals - Health Professionals,Between 20 and 199,One parent family with dependent children,Regional,40%,40%,40%,40%,40%,Yes,Yes,40%,40%,Yes,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat Negative,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,1,8,6,3,6,1,8,4,4,7,No,,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Significantly worsened,Not a barrier for me,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
7,1973,48,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,80%,100% - All of my time,100% - All of my time,Yes,No,,,Yes,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat likely,2,8,3,3,8,1,8,3,4,8,No,,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
11,1980,41,Female,Between 1 and 5 years,"Electricity, Gas, Water and Waste",Professionals - ICT Professionals,More than 200,Group household,Metro,90%,80%,80%,80%,90%,Yes,Yes,90%,100% - All of my time,No,,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Positive,They are about the same,Somewhat likely,Very likely,Very likely,2,8,2,4,8,0,8,4,4,8,No,,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
12,1959,62,Male,Between 1 and 5 years,Construction,Machinery operators and drivers - Mobile Plant Operators,Between 5 and 19,Couple with dependent children,Metro,10%,10%,10%,10%,Less than 10% of my time,Yes,Yes,10%,10%,Yes,80%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat Negative,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Negative,They are about the same,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,1,8,3,4,8,1,8,3,4,8,No,,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,I’m 20% more productive when working remotely
13,1992,29,Female,Between 6 and 12 months,Other Services,Professionals - ICT Professionals,Between 1 and 4,Couple with dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,No,Yes,50% - About half of my time,50% - About half of my time,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Senior leadership,Very likely,Very likely,Very likely,3,8,2,3,8,0,12,2,2,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% less productive when working remotely,I’m 10% less productive when working remotely
16,1973,48,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Single person,Metro,30%,50% - About half of my time,10%,20%,40%,No,Yes,30%,40%,Yes,100% - All of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat Positive,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat likely,3,8,3,2,8,2,8,3,3,8,No,,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
18,1977,44,Female,More than 5 years,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Regional,20%,10%,10%,Less than 10% of my time,10%,Yes,Yes,10%,10%,Yes,10%,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat Positive,Senior leadership,Very likely,Very likely,Very likely,3,8,3,3,7,1,8,4,3,8,Yes,0.1,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Strongly agree,Somewhat agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
19,1978,43,Male,More than 5 years,Construction,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,30%,40%,20%,20%,20%,Yes,Yes,30%,30%,Yes,60%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly Positive,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,3,8,3,2,8,1,8,4,3,8,Yes,0.1,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
21,1980,41,Female,Between 6 and 12 months,Construction,Community and personal service workers - Hospitality Workers,Between 5 and 19,Couple with dependent children,Metro,20%,20%,20%,20%,30%,No,Yes,30%,20%,Yes,10%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Senior leadership,Very likely,Somewhat likely,Somewhat likely,8,2,1,5,8,2,10,8,2,2,Yes,0.05,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,No,,,,,,,,,,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
22,1978,43,Male,More than 5 years,Accommodation and Food,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Regional,30%,30%,30%,30%,30%,No,Yes,30%,30%,No,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly Positive,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Positive,Senior leadership,Very likely,Somewhat likely,Somewhat likely,1,2,5,8,8,1,8,4,3,8,No,,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Strongly agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
