Response ID,ID
What year were you born?  ,AGE
What is your gender?  ,GENDER
"How long have you been in your current job?  If you have more than one job, please answer all questions for your main job.  ",Employment Duration
Which of the following best describes your industry?  ,Industry
Which of the following best describes your current occupation?  ,Occupation
How many people are currently employed by your organisation?   ,Size of Employer Company
Which of the following best describes your household?  ,Size of Household
Metro or Regional,Residency Area
"Thinking about your current job, how much of your work time did you spend working remotely in the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Time Spent Working Remotely Last Quarter of Last Year
"How much of your work time would you have preferred to work remotely during the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Preferred Time Spent Working Remotely Last Quarter of Last Year
"Thinking about your current job, how much of your work time have you spent working remotely this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Time Spent Working Remotely in 2021
"How much of your work time would you have preferred to work remotely so far this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Preferred Time Spent Working Remotely in 2021
"Imagine that COVID-19 is cured or eradicated.   Going forward, how much of your work time would you prefer to work remotely?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Preferred Time Spent Working Remotely in Future
These questions are about the remote working arrangements in your organisation.  Has your employer changed or updated their policy on remote work since COVID-19?   This means since February/March 2020  ,Employer's Policy change on Remote Work
"In the past 6 months, have you ever worked part of your day remotely, and part of it at your employer’s workplace?",1 day Hybrid last 6 months
How often do you work this way?  ,Duration of Hybrid
How often would you like to work this way?  ,Preferences towards Hybrid
Does your employer have a policy that workers must be at the employer’s workplace some of the time?  ,Employer's Policy on Hybrid
"How much of your work time does your employer’s policy require you to be at their workplace?  If you work a 5 day week, 1 day equals 20% of your work time.  ",Employer's Time Preference on Onsite
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My employer’s remote working policy suits me",Attitude on Employer's Preferences
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I get to choose how much work I do remotely",Liberty to make the Choice on Decision
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I choose which days I work remotely",Liberty to make the Choice on Days
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My direct manager has discretion to allow or deny remote work",Direct Manager's role
How do you feel about your employer’s remote working policy?  ,Attitude on Employer's Decision on Remote Work
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation encouraged people to work remotely",Attitude on Employer's Encouragement
